,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,112,240,252,126,14,135,211,253,32,253,32,253,60,32,223,191,32,253,124,94,48,249,248,248,120,240,241,240,240,248,0,0
1,16,224,240,252,54,243,255,125,32,253,32,253,60,32,255,124,0,217,160,255,16,160,240,248,248,248,240,240,224,192,0,0
2,14,1,225,253,56,112,240,252,32,221,0,221,28,0,221,44,2,223,32,255,30,17,249,112,240,240,251,225,225,199,0,0
3,62,51,243,253,56,96,216,60,64,223,2,223,30,2,223,6,131,223,32,253,30,58,112,240,240,240,240,240,243,243,0,0
4,124,112,249,124,112,226,255,32,195,223,34,255,126,34,255,38,227,255,32,221,30,44,0,152,184,240,240,240,240,240,0,0
5,120,248,248,120,112,224,255,32,195,223,32,249,124,112,253,114,241,253,32,223,30,4,223,31,56,32,224,192,217,24,0,0
6,64,200,28,56,0,192,253,34,195,223,0,217,40,0,144,248,48,252,32,223,30,34,255,62,126,0,227,195,143,15,0,0
7,135,175,15,12,2,187,61,64,227,255,2,159,52,255,123,109,72,12,2,255,62,50,237,64,142,14,131,231,255,79,0,0
8,31,21,247,239,207,15,0,130,177,255,110,95,8,128,152,0,199,159,51,253,76,8,0,143,31,63,67,193,241,247,0,0
9,126,14,24,48,231,247,239,15,9,0,128,255,86,183,255,66,255,127,64,192,134,135,255,127,63,32,194,139,1,160,0,0
10,244,255,15,0,129,241,244,255,127,127,27,37,206,8,0,186,57,32,194,215,255,251,121,124,76,0,135,191,63,99,0,0
11,16,244,254,79,11,9,16,176,240,252,94,0,247,255,127,45,12,0,147,251,120,104,72,0,134,151,255,125,120,240,0,0
12,10,0,144,182,247,255,127,0,128,224,206,10,9,0,140,4,135,199,219,8,0,128,255,247,255,255,120,72,0,128,0,0
13,14,7,159,24,0,136,132,254,3,193,223,31,63,63,255,7,131,131,255,62,95,3,217,56,8,0,128,134,247,239,0,0
14,14,7,191,14,6,135,155,45,2,195,255,78,28,24,36,198,135,147,253,20,190,114,255,100,198,199,207,139,1,133,0,0
15,126,31,15,14,31,191,127,52,243,227,193,254,63,62,0,231,207,27,60,62,124,120,0,192,195,131,135,135,143,15,0,0
16,252,14,14,15,15,28,28,0,160,224,227,255,60,52,250,225,247,255,60,56,96,220,34,227,199,199,159,183,255,127,0,0
17,255,126,247,255,127,127,126,78,3,161,225,237,12,8,0,128,177,252,60,0,194,159,50,225,227,247,255,123,112,240,0,0
18,8,8,0,136,24,24,0,254,255,49,225,229,255,15,7,159,59,60,44,66,255,127,0,128,193,241,248,120,96,192,0,0
19,127,127,127,127,127,62,26,17,252,32,192,241,245,238,87,191,60,60,0,211,233,76,6,131,131,153,56,0,194,195,0,0
20,12,12,8,8,12,12,14,11,12,2,131,137,128,192,223,12,12,4,130,139,0,135,143,135,135,143,14,6,131,143,0,0
21,143,143,15,31,31,63,127,7,143,7,135,143,131,131,143,14,15,15,15,15,7,135,175,7,135,143,15,7,143,143,0,0
22,247,255,63,15,15,12,12,6,191,47,71,199,199,199,207,15,15,15,31,63,63,111,69,135,183,255,127,15,15,15,0,0
23,233,220,12,6,239,207,15,15,13,0,163,243,243,243,247,255,127,127,127,60,40,68,135,143,11,0,132,231,247,255,0,0
24,225,255,30,3,225,231,223,15,15,15,19,241,240,240,248,120,120,120,124,124,68,199,207,15,31,31,19,243,249,120,0,0
25,225,229,254,26,33,225,255,111,79,31,27,24,48,240,248,120,120,120,120,64,194,195,255,127,127,127,59,56,120,120,0,0
26,225,225,255,94,0,225,253,96,239,223,30,30,8,128,248,120,56,0,192,195,195,243,249,120,120,124,124,56,56,56,0,0
27,225,225,225,238,14,1,185,32,225,255,30,30,14,11,9,12,12,2,131,195,219,185,56,112,240,248,252,124,60,56,0,0
28,193,241,241,229,255,95,63,32,225,253,254,30,14,15,15,15,15,7,131,195,255,60,56,96,240,248,252,124,124,124,0,0
29,219,177,240,225,241,255,60,98,193,225,255,30,14,15,15,7,143,143,19,179,253,124,44,194,249,248,120,120,120,120,0,0
30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
