,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,56,120,126,63,7,195,233,254,16,254,16,254,30,16,239,223,16,254,62,47,24,252,124,124,60,120,248,120,120,124,0,0
1,8,112,120,126,27,249,255,190,16,254,16,254,30,16,255,62,0,236,80,255,8,80,120,124,124,124,120,120,112,96,0,0
2,7,128,240,254,28,56,120,126,16,238,0,238,14,0,238,22,1,239,16,255,15,136,252,56,120,120,253,240,240,227,0,0
3,31,153,249,254,28,48,108,30,32,239,1,239,15,1,239,3,193,239,16,254,15,29,56,120,120,120,120,120,249,249,0,0
4,62,56,252,62,56,113,255,16,225,239,17,255,63,17,255,19,241,255,16,238,15,22,0,76,92,120,120,120,120,120,0,0
5,60,124,124,60,56,112,255,16,225,239,16,252,62,56,254,57,248,254,16,239,15,2,239,143,28,16,112,96,236,12,0,0
6,32,100,14,28,0,96,254,17,225,239,0,236,20,0,72,124,24,126,16,239,15,17,255,31,63,0,241,225,199,135,0,0
7,195,215,135,6,1,221,158,32,241,255,1,207,26,255,189,182,36,6,1,255,31,25,246,32,71,7,193,243,255,167,0,0
8,143,138,251,247,231,135,0,65,216,255,55,175,4,64,76,0,227,207,153,254,38,4,0,199,143,159,161,224,248,251,0,0
9,63,7,12,24,243,251,247,135,132,0,64,255,43,219,255,33,255,191,32,96,67,195,255,191,159,16,97,197,128,80,0,0
10,122,255,135,0,192,248,122,255,191,191,141,146,103,4,0,93,156,16,97,235,255,253,188,62,38,0,195,223,159,177,0,0
11,8,122,127,167,133,132,8,88,120,126,47,0,251,255,191,150,6,0,201,253,60,52,36,0,67,203,255,190,60,120,0,0
12,5,0,72,91,251,255,191,0,64,112,103,5,132,0,70,2,195,227,237,4,0,64,255,251,255,255,60,36,0,64,0,0
13,7,131,207,12,0,68,66,127,129,224,239,143,159,159,255,131,193,193,255,31,175,129,236,28,4,0,64,67,251,247,0,0
14,7,131,223,7,3,195,205,150,1,225,255,39,14,12,18,99,195,201,254,10,95,57,255,50,99,227,231,197,128,194,0,0
15,63,143,135,7,143,223,191,26,249,241,224,127,159,31,0,243,231,141,30,31,62,60,0,96,225,193,195,195,199,135,0,0
16,126,7,7,135,135,14,14,0,80,112,241,255,30,26,125,240,251,255,30,28,48,110,17,241,227,227,207,219,255,191,0,0
17,255,63,251,255,191,191,63,39,129,208,240,246,6,4,0,64,216,126,30,0,97,207,25,240,241,251,255,189,56,120,0,0
18,4,4,0,68,12,12,0,127,255,152,240,242,255,135,131,207,157,30,22,33,255,191,0,64,224,248,124,60,48,96,0,0
19,191,191,191,191,191,31,13,136,126,16,96,248,250,119,171,223,30,30,0,233,244,38,3,193,193,204,28,0,97,225,0,0
20,6,6,4,4,6,6,7,133,6,1,193,196,64,96,239,6,6,2,65,197,0,195,199,195,195,199,7,3,193,199,0,0
21,199,199,135,143,143,159,191,131,199,131,195,199,193,193,199,7,135,135,135,135,131,195,215,131,195,199,135,131,199,199,0,0
22,251,255,159,135,135,6,6,3,223,151,163,227,227,227,231,135,135,135,143,159,159,183,162,195,219,255,191,135,135,135,0,0
23,244,110,6,3,247,231,135,135,134,0,209,249,249,249,251,255,191,191,191,30,20,34,195,199,133,0,66,243,251,255,0,0
24,240,255,15,129,240,243,239,135,135,135,137,248,120,120,124,60,60,60,62,62,34,227,231,135,143,143,137,249,252,60,0,0
25,240,242,127,13,144,240,255,183,167,143,141,12,24,120,124,60,60,60,60,32,97,225,255,191,191,191,157,28,60,60,0,0
26,240,240,255,47,0,240,254,48,247,239,15,15,4,64,124,60,28,0,96,225,225,249,252,60,60,62,62,28,28,28,0,0
27,240,240,240,119,7,128,220,16,240,255,15,15,7,133,132,6,6,1,193,225,237,220,28,56,120,124,126,62,30,28,0,0
28,224,248,248,242,255,175,159,16,240,254,127,15,7,135,135,135,135,131,193,225,255,30,28,48,120,124,126,62,62,62,0,0
29,237,216,120,240,248,255,30,49,224,240,255,15,7,135,135,131,199,199,137,217,254,62,22,97,252,124,60,60,60,60,0,0
30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
