,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,56,60,252,249,193,135,47,254,16,254,16,254,240,16,239,247,16,254,248,233,48,126,124,124,120,60,62,60,60,124,0
2,0,32,28,60,252,177,63,255,250,16,254,16,254,240,16,255,248,0,110,20,255,32,20,60,124,124,124,60,60,28,12,0
3,0,193,2,30,254,112,56,60,252,16,238,0,238,224,0,238,208,1,239,16,255,225,34,126,56,60,60,127,30,30,143,0
4,0,241,51,63,254,112,24,108,240,8,239,1,239,225,1,239,129,7,239,16,254,225,113,56,60,60,60,60,60,63,63,0
5,0,248,56,126,248,56,29,255,16,15,239,17,255,249,17,255,145,31,255,16,238,225,208,0,100,116,60,60,60,60,60,0
6,0,120,124,124,120,56,28,255,16,15,239,16,126,248,56,254,57,62,254,16,239,225,128,239,227,112,16,28,12,110,96,0
7,0,8,76,224,112,0,12,254,17,15,239,0,110,80,0,36,124,48,252,16,239,225,17,255,241,249,0,31,15,199,195,0
8,0,135,215,195,192,1,119,242,8,31,255,1,231,176,255,123,218,72,192,1,255,241,49,222,8,197,193,7,159,255,203,0
9,0,227,162,191,223,207,195,0,5,54,255,217,235,64,4,100,0,143,231,51,254,200,64,0,199,227,243,11,14,62,191,0
10,0,249,193,96,48,159,191,223,195,66,0,4,255,169,183,255,9,255,251,8,12,133,135,255,251,243,16,13,71,2,20,0
11,0,188,255,195,0,6,62,188,255,251,251,99,146,205,64,0,117,114,16,13,175,255,127,122,248,200,0,135,247,243,27,0
12,0,32,188,253,203,67,66,32,52,60,252,233,0,191,255,251,210,192,0,39,127,120,88,72,0,133,167,255,250,120,60,0
13,0,65,0,36,181,191,255,251,0,4,28,205,65,66,0,196,128,135,143,111,64,0,4,255,191,255,255,120,72,0,4,0
14,0,193,131,231,96,0,68,132,253,3,14,239,227,243,243,255,131,7,7,255,241,235,3,110,112,64,0,4,133,191,223,0
15,0,193,131,247,193,129,135,103,210,1,15,255,201,224,96,144,141,135,39,254,160,245,57,255,152,141,143,207,71,2,134,0
16,0,249,227,195,193,227,247,251,176,63,31,14,253,243,241,0,159,207,99,240,241,248,120,0,12,15,7,135,135,199,195,0
17,0,252,193,193,195,195,224,224,0,20,28,31,255,240,176,125,30,191,255,240,112,24,236,17,31,143,143,231,183,255,251,0
18,0,255,249,191,255,251,251,249,201,3,22,30,222,192,64,0,4,54,252,240,0,13,231,49,30,31,191,255,123,56,60,0
19,0,64,64,0,68,96,96,0,253,255,50,30,158,255,195,131,231,115,240,208,9,255,251,0,4,14,62,124,120,24,12,0
20,0,251,251,251,251,251,241,97,34,252,16,12,62,190,221,171,247,240,240,0,47,94,200,129,7,7,102,112,0,13,15,0
21,0,192,192,64,64,192,192,193,67,192,1,7,70,4,12,239,192,192,128,5,71,0,135,199,135,135,199,193,129,7,199,0
22,0,199,199,195,227,227,243,251,131,199,131,135,199,7,7,199,193,195,195,195,195,131,135,215,131,135,199,195,131,199,199,0
23,0,191,255,243,195,195,192,192,129,247,211,139,143,143,143,207,195,195,195,227,243,243,219,138,135,183,255,251,195,195,195,0
24,0,94,236,192,129,223,207,195,195,194,0,23,63,63,63,191,255,251,251,251,240,80,136,135,199,67,0,132,159,191,255,0
25,0,30,255,225,3,30,159,239,195,195,195,35,62,60,60,124,120,120,120,248,248,136,143,207,195,227,227,35,63,126,120,0
26,0,30,158,253,97,18,30,255,219,203,227,99,96,48,60,124,120,120,120,120,8,13,15,255,251,251,251,115,112,120,120,0
27,0,30,30,255,233,0,30,254,24,223,239,225,225,64,4,124,120,112,0,12,15,15,63,126,120,120,248,248,112,112,112,0
28,0,30,30,30,221,193,2,118,16,30,255,225,225,193,67,66,192,192,1,7,15,111,118,112,56,60,124,252,248,240,112,0
29,0,14,62,62,158,255,235,243,16,30,254,253,225,193,195,195,195,195,131,7,15,255,240,112,24,60,124,252,248,248,248,0
30,0,111,54,60,30,62,255,240,25,14,30,255,225,193,195,195,131,199,199,35,55,254,248,208,13,126,124,120,120,120,120,0
31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
